Year,Trial,YearTrial,Treatment,ID,Mass,Stage
2024,1,20241,Bottom,50,1.1508,Pupa
2023,2,20232,Bottom,54,1.1525,Pupa
2024,2,20242,Bottom,12,1.1526,Pupa
2024,1,20241,Bottom,37,1.1551,Pupa
2023,2,20232,Bottom,44,1.1641,Pupa
2024,1,20241,Bottom,60,1.1676,Pupa
2024,1,20241,Bottom,49,1.1731,Pupa
2024,2,20242,Bottom,49,1.1742,Pupa
2023,1,20231,Bottom,44,1.1801,Pupa
2024,2,20242,Bottom,9,1.1809,Pupa
2023,1,20231,Bottom,40,1.1813,Pupa
2023,2,20232,Bottom,17,1.1977,Pupa
2023,1,20231,Bottom,30,1.1983,Pupa
2023,1,20231,Bottom,37,1.2027,Pupa
2024,2,20242,Bottom,55,1.2073,Pupa
2023,1,20231,Bottom,31,1.2123,Pupa
2023,2,20232,Bottom,33,1.2237,Pupa
2023,1,20231,Bottom,39,1.2387,Pupa
2023,2,20232,Bottom,59,1.2435,Pupa
2024,1,20241,Bottom,33,1.2815,Pupa
2023,1,20231,Bottom,21,1.3005,Pupa
2023,1,20231,Bottom,51,1.3036,Pupa
2023,2,20232,Bottom,29,1.3494,Pupa
2023,2,20232,Bottom,5,1.3511,Pupa
2023,2,20232,Bottom,35,1.3571,Pupa
2023,1,20231,Bottom,54,1.3589,Pupa
2023,2,20232,Bottom,43,1.5155,Pupa
2023,1,20231,Bottom,41,1.526,Pupa
2023,2,20232,Top,59,0.0078,Day 6
2023,2,20232,Top,45,0.0141,Day 6
2023,2,20232,Top,31,0.0157,Day 6
2024,1,20241,Top,27,0.0158,Day 6
2023,2,20232,Top,48,0.0178,Day 6
2023,2,20232,Top,7,0.0225,Day 6
2023,2,20232,Top,34,0.0254,Day 6
2023,2,20232,Top,23,0.0266,Day 6
2023,2,20232,Top,41,0.0267,Day 6
2024,1,20241,Top,47,0.0279,Day 6
2023,2,20232,Top,39,0.0281,Day 6
2023,2,20232,Top,37,0.0315,Day 6
2023,2,20232,Top,44,0.0322,Day 6
2023,2,20232,Top,9,0.034,Day 6
2023,2,20232,Top,5,0.0418,Day 6
2023,2,20232,Top,24,0.0421,Day 6
2023,2,20232,Top,25,0.043,Day 6
2024,1,20241,Top,11,0.0435,Day 6
2024,2,20242,Top,19,0.0457,Day 6
2023,2,20232,Top,21,0.046,Day 6
2023,2,20232,Top,60,0.0461,Day 6
2023,2,20232,Top,46,0.047,Day 6
2023,2,20232,Top,22,0.0471,Day 6
2023,2,20232,Top,8,0.0489,Day 6
2023,2,20232,Top,17,0.0527,Day 6
2023,2,20232,Top,49,0.053,Day 6
2023,2,20232,Top,6,0.0533,Day 6
2023,2,20232,Top,19,0.0545,Day 6
2024,1,20241,Top,28,0.0552,Day 6
2023,2,20232,Top,57,0.056,Day 6
2023,2,20232,Top,33,0.0565,Day 6
2024,1,20241,Top,7,0.0574,Day 6
2024,1,20241,Top,33,0.0577,Day 6
2024,2,20242,Top,20,0.0622,Day 6
2024,2,20242,Top,47,0.0627,Day 6
2023,2,20232,Top,3,0.0629,Day 6
2023,2,20232,Top,40,0.0629,Day 6
2024,2,20242,Top,44,0.063,Day 6
2024,2,20242,Top,38,0.0632,Day 6
2024,1,20241,Top,5,0.0634,Day 6
2024,1,20241,Top,23,0.0651,Day 6
2024,2,20242,Top,16,0.0652,Day 6
2024,1,20241,Top,39,0.0656,Day 6
2024,2,20242,Top,12,0.0679,Day 6
2023,2,20232,Top,1,0.0685,Day 6
2024,1,20241,Top,30,0.0687,Day 6
2023,2,20232,Top,28,0.0691,Day 6
2024,1,20241,Top,34,0.0725,Day 6
2024,2,20242,Top,13,0.0758,Day 6
2023,2,20232,Top,56,0.0764,Day 6
2024,2,20242,Top,6,0.0766,Day 6
2023,2,20232,Top,51,0.0769,Day 6
2024,1,20241,Top,13,0.0773,Day 6
2024,2,20242,Top,37,0.0813,Day 6
2024,1,20241,Top,35,0.0816,Day 6
2024,1,20241,Top,36,0.0824,Day 6
2024,1,20241,Top,24,0.0855,Day 6
2023,2,20232,Top,27,0.0887,Day 6
2024,2,20242,Top,11,0.0888,Day 6
2024,2,20242,Top,36,0.0911,Day 6
2024,2,20242,Top,14,0.0912,Day 6
2024,1,20241,Top,43,0.0941,Day 6
2024,2,20242,Top,1,0.0944,Day 6
2024,1,20241,Top,21,0.0961,Day 6
2023,2,20232,Top,15,0.0979,Day 6
2024,2,20242,Top,26,0.1005,Day 6
2024,2,20242,Top,31,0.1005,Day 6
2024,2,20242,Top,42,0.1006,Day 6
2024,2,20242,Top,56,0.1017,Day 6
2024,1,20241,Top,3,0.1023,Day 6
2024,2,20242,Top,25,0.1043,Day 6
2024,2,20242,Top,18,0.1085,Day 6
2024,2,20242,Top,43,0.1112,Day 6
2024,2,20242,Top,28,0.112,Day 6
2024,2,20242,Top,35,0.1122,Day 6
2024,2,20242,Top,21,0.1162,Day 6
2024,1,20241,Top,31,0.1166,Day 6
2024,2,20242,Top,7,0.1167,Day 6
2024,2,20242,Top,48,0.1169,Day 6
2024,1,20241,Top,38,0.1192,Day 6
2024,2,20242,Top,54,0.1228,Day 6
2024,1,20241,Top,32,0.1242,Day 6
2024,1,20241,Top,56,0.125,Day 6
2024,1,20241,Top,20,0.1259,Day 6
2024,1,20241,Top,12,0.126,Day 6
2024,2,20242,Top,8,0.1261,Day 6
2024,1,20241,Top,53,0.1278,Day 6
2024,2,20242,Top,53,0.1312,Day 6
2024,2,20242,Top,55,0.1334,Day 6
2024,2,20242,Top,3,0.1389,Day 6
2024,2,20242,Top,51,0.1397,Day 6
2024,1,20241,Top,14,0.1413,Day 6
2024,2,20242,Top,50,0.1422,Day 6
2024,2,20242,Top,17,0.1438,Day 6
2024,2,20242,Top,23,0.1452,Day 6
2024,2,20242,Top,10,0.146,Day 6
2024,2,20242,Top,57,0.1489,Day 6
2024,1,20241,Top,1,0.1508,Day 6
2024,2,20242,Top,59,0.1547,Day 6
2024,2,20242,Top,41,0.1555,Day 6
2024,1,20241,Top,8,0.1581,Day 6
2024,2,20242,Top,27,0.1606,Day 6
2024,2,20242,Top,58,0.1628,Day 6
2024,2,20242,Top,9,0.1719,Day 6
2024,1,20241,Top,59,0.1759,Day 6
2024,1,20241,Top,18,0.1801,Day 6
2024,2,20242,Top,60,0.1809,Day 6
2024,2,20242,Top,30,0.1853,Day 6
2024,2,20242,Top,24,0.1861,Day 6
2024,1,20241,Top,54,0.1862,Day 6
2024,2,20242,Top,15,0.1892,Day 6
2024,2,20242,Top,22,0.1909,Day 6
2024,2,20242,Top,2,0.1916,Day 6
2024,1,20241,Top,40,0.1966,Day 6
2024,2,20242,Top,4,0.2021,Day 6
2024,1,20241,Top,29,0.2074,Day 6
2024,2,20242,Top,45,0.2162,Day 6
2024,1,20241,Top,57,0.2178,Day 6
2024,2,20242,Top,5,0.2214,Day 6
2024,2,20242,Top,52,0.2245,Day 6
2024,2,20242,Top,39,0.2342,Day 6
2024,1,20241,Top,45,0.2344,Day 6
2024,1,20241,Top,55,0.2357,Day 6
2024,1,20241,Top,51,0.2358,Day 6
2024,2,20242,Top,40,0.2361,Day 6
2024,1,20241,Top,17,0.2367,Day 6
2024,2,20242,Top,29,0.2377,Day 6
2024,2,20242,Top,33,0.238,Day 6
2024,1,20241,Top,60,0.2384,Day 6
2024,1,20241,Top,6,0.2385,Day 6
2024,2,20242,Top,49,0.2462,Day 6
2024,1,20241,Top,2,0.2527,Day 6
2024,2,20242,Top,34,0.2566,Day 6
2024,1,20241,Top,52,0.2679,Day 6
2024,2,20242,Top,46,0.2812,Day 6
2024,1,20241,Bottom,56,0.005,Day 6
2024,1,20241,Bottom,20,0.0081,Day 6
2023,2,20232,Bottom,25,0.0089,Day 6
2023,2,20232,Bottom,41,0.0145,Day 6
2023,2,20232,Bottom,17,0.0149,Day 6
2023,2,20232,Bottom,45,0.0185,Day 6
2023,2,20232,Bottom,35,0.0186,Day 6
2023,2,20232,Bottom,60,0.0195,Day 6
2024,1,20241,Bottom,47,0.0195,Day 6
2023,2,20232,Bottom,16,0.0197,Day 6
2024,1,20241,Bottom,54,0.0198,Day 6
2023,2,20232,Bottom,20,0.0211,Day 6
2023,2,20232,Bottom,31,0.0228,Day 6
2024,1,20241,Bottom,15,0.0234,Day 6
2024,1,20241,Bottom,48,0.0239,Day 6
2023,2,20232,Bottom,21,0.0249,Day 6
2023,2,20232,Bottom,28,0.0256,Day 6
2023,2,20232,Bottom,47,0.0264,Day 6
2023,2,20232,Bottom,22,0.0279,Day 6
2024,1,20241,Bottom,45,0.0314,Day 6
2023,2,20232,Bottom,24,0.0316,Day 6
2023,2,20232,Bottom,9,0.0322,Day 6
2023,2,20232,Bottom,40,0.0346,Day 6
2024,2,20242,Bottom,60,0.0346,Day 6
2024,2,20242,Bottom,46,0.0365,Day 6
2023,2,20232,Bottom,30,0.0373,Day 6
2023,2,20232,Bottom,39,0.0392,Day 6
2023,2,20232,Bottom,53,0.0417,Day 6
2023,2,20232,Bottom,26,0.0421,Day 6
2023,2,20232,Bottom,5,0.0425,Day 6
2023,2,20232,Bottom,37,0.0427,Day 6
2023,2,20232,Bottom,14,0.0446,Day 6
2024,2,20242,Bottom,26,0.0464,Day 6
2023,2,20232,Bottom,44,0.0474,Day 6
2023,2,20232,Bottom,29,0.0475,Day 6
2024,1,20241,Bottom,33,0.0483,Day 6
2023,2,20232,Bottom,58,0.0484,Day 6
2023,2,20232,Bottom,8,0.0486,Day 6
2024,1,20241,Bottom,57,0.049,Day 6
2023,2,20232,Bottom,56,0.0497,Day 6
2024,2,20242,Bottom,51,0.0504,Day 6
2023,2,20232,Bottom,54,0.0511,Day 6
2024,2,20242,Bottom,59,0.0516,Day 6
2024,2,20242,Bottom,14,0.0536,Day 6
2024,2,20242,Bottom,50,0.0546,Day 6
2023,2,20232,Bottom,33,0.055,Day 6
2023,2,20232,Bottom,52,0.0572,Day 6
2024,2,20242,Bottom,10,0.059,Day 6
2023,2,20232,Bottom,51,0.0594,Day 6
2024,2,20242,Bottom,44,0.0598,Day 6
2024,2,20242,Bottom,47,0.0604,Day 6
2023,2,20232,Bottom,59,0.0629,Day 6
2024,1,20241,Bottom,30,0.065,Day 6
2024,1,20241,Bottom,6,0.0653,Day 6
2024,2,20242,Bottom,19,0.0679,Day 6
2024,1,20241,Bottom,18,0.0683,Day 6
2023,2,20232,Bottom,13,0.0692,Day 6
2024,1,20241,Bottom,11,0.0696,Day 6
2024,1,20241,Bottom,13,0.0704,Day 6
2024,2,20242,Bottom,41,0.0714,Day 6
2024,1,20241,Bottom,24,0.0728,Day 6
2024,2,20242,Bottom,57,0.0729,Day 6
2024,2,20242,Bottom,56,0.0732,Day 6
2024,2,20242,Bottom,32,0.0736,Day 6
2024,2,20242,Bottom,5,0.0757,Day 6
2024,1,20241,Bottom,43,0.0783,Day 6
2024,2,20242,Bottom,15,0.0798,Day 6
2024,2,20242,Bottom,42,0.081,Day 6
2024,2,20242,Bottom,48,0.0823,Day 6
2024,2,20242,Bottom,53,0.0843,Day 6
2024,1,20241,Bottom,31,0.0845,Day 6
2024,2,20242,Bottom,54,0.0849,Day 6
2024,2,20242,Bottom,24,0.0858,Day 6
2024,1,20241,Bottom,46,0.0866,Day 6
2023,2,20232,Bottom,43,0.0894,Day 6
2024,1,20241,Bottom,1,0.0914,Day 6
2024,2,20242,Bottom,49,0.0941,Day 6
2024,1,20241,Bottom,16,0.0943,Day 6
2024,2,20242,Bottom,35,0.095,Day 6
2024,1,20241,Bottom,19,0.0959,Day 6
2024,2,20242,Bottom,27,0.0978,Day 6
2024,2,20242,Bottom,7,0.1021,Day 6
2024,1,20241,Bottom,10,0.103,Day 6
2024,2,20242,Bottom,31,0.1083,Day 6
2024,2,20242,Bottom,29,0.11,Day 6
2024,2,20242,Bottom,52,0.1103,Day 6
2024,1,20241,Bottom,2,0.1119,Day 6
2024,1,20241,Bottom,23,0.1144,Day 6
2024,1,20241,Bottom,44,0.1148,Day 6
2024,2,20242,Bottom,11,0.1152,Day 6
2024,1,20241,Bottom,34,0.1162,Day 6
2024,2,20242,Bottom,17,0.1201,Day 6
2024,1,20241,Bottom,40,0.1202,Day 6
2024,1,20241,Bottom,21,0.1221,Day 6
2024,1,20241,Bottom,58,0.1267,Day 6
2024,1,20241,Bottom,60,0.1277,Day 6
2024,2,20242,Bottom,12,0.1281,Day 6
2024,1,20241,Bottom,7,0.1282,Day 6
2024,2,20242,Bottom,9,0.1296,Day 6
2024,1,20241,Bottom,8,0.1318,Day 6
2024,2,20242,Bottom,36,0.1328,Day 6
